strain	replicate	conc	time	value
R	1	7.81	17	0.031
R	1	7.81	18	0.032
R	1	7.81	19	0.034
R	1	7.81	20	0.035
R	1	7.81	21	0.037
R	1	7.81	22	0.038
R	1	7.81	23	0.039
R	1	7.81	24	0.04
R	1	7.81	25	0.042
R	1	7.81	26	0.043
R	1	7.81	27	0.044
R	1	7.81	28	0.046
R	1	7.81	29	0.047
R	1	7.81	30	0.049
R	1	15.63	0	0.01
R	1	15.63	1	0.01
R	1	15.63	2	0.01
R	1	15.63	3	0.01
R	1	15.63	4	0.011
R	1	15.63	5	0.012
R	1	15.63	6	0.013
R	1	15.63	7	0.014
R	1	15.63	8	0.015
R	1	15.63	9	0.017
R	1	15.63	10	0.018
R	1	15.63	11	0.02
R	1	15.63	12	0.022
R	1	15.63	13	0.025
R	1	15.63	14	0.028
R	1	15.63	15	0.03
R	1	15.63	16	0.031
R	1	15.63	17	0.032
R	1	15.63	18	0.034
R	1	15.63	19	0.035
R	1	15.63	20	0.036
R	1	15.63	21	0.038
R	1	15.63	22	0.039
R	1	15.63	23	0.04
R	1	15.63	24	0.041
R	1	15.63	25	0.042
R	1	15.63	26	0.044
R	1	15.63	27	0.045
R	1	15.63	28	0.046
R	1	15.63	29	0.047
R	1	15.63	30	0.048
R	1	31.25	0	0.01
R	1	31.25	1	0.01
R	1	31.25	2	0.01
R	1	31.25	3	0.01
R	1	31.25	4	0.011
R	1	31.25	5	0.013
R	1	31.25	6	0.014
R	1	31.25	7	0.016
R	1	31.25	8	0.018
R	1	31.25	9	0.019
R	1	31.25	10	0.021
R	1	31.25	11	0.022
R	1	31.25	12	0.021
R	1	31.25	13	0.021
R	1	31.25	14	0.02
R	1	31.25	15	0.02
R	1	31.25	16	0.021
R	1	31.25	17	0.021
R	1	31.25	18	0.02
R	1	31.25	19	0.021
R	1	31.25	20	0.021
R	1	31.25	21	0.021
R	1	31.25	22	0.021
R	1	31.25	23	0.021
R	1	31.25	24	0.021
R	1	31.25	25	0.021
R	1	31.25	26	0.021
R	1	31.25	27	0.021
R	1	31.25	28	0.021
R	1	31.25	29	0.022
R	1	31.25	30	0.022
R	1	62.5	0	0.009
R	1	62.5	1	0.009
R	1	62.5	2	0.01
R	1	62.5	3	0.011
R	1	62.5	4	0.011
R	1	62.5	5	0.013
R	1	62.5	6	0.014
R	1	62.5	7	0.016
R	1	62.5	8	0.017
R	1	62.5	9	0.019
R	1	62.5	10	0.021
R	1	62.5	11	0.023
R	1	62.5	12	0.025
R	1	62.5	13	0.027
R	1	62.5	14	0.03
R	1	62.5	15	0.032
R	1	62.5	16	0.034
R	1	62.5	17	0.036
R	1	62.5	18	0.037
R	1	62.5	19	0.038
R	1	62.5	20	0.039
R	1	62.5	21	0.039
R	1	62.5	22	0.04
R	1	62.5	23	0.041
R	1	62.5	24	0.042
R	1	62.5	25	0.044
R	1	62.5	26	0.044
R	1	62.5	27	0.044
R	1	62.5	28	0.044
R	1	62.5	29	0.044
R	1	62.5	30	0.045
R	1	125	0	0.009
R	1	125	1	0.009
R	1	125	2	0.009
R	1	125	3	0.01
R	1	125	4	0.011
R	1	125	5	0.012
R	1	125	6	0.012
R	1	125	7	0.012
R	1	125	8	0.013
R	1	125	9	0.014
R	1	125	10	0.014
R	1	125	11	0.015
R	1	125	12	0.015
R	1	125	13	0.016
R	1	125	14	0.016
R	1	125	15	0.017
R	1	125	16	0.017
R	1	125	17	0.017
R	1	125	18	0.017
R	1	125	19	0.018
R	1	125	20	0.018
R	1	125	21	0.018
R	1	125	22	0.018
R	1	125	23	0.018
R	1	125	24	0.018
R	1	125	25	0.018
R	1	125	26	0.018
R	1	125	27	0.018
R	1	125	28	0.018
R	1	125	29	0.018
R	1	125	30	0.018
R	1	250	0	0.012
R	1	250	1	0.013
R	1	250	2	0.015
R	1	250	3	0.015
R	1	250	4	0.016
R	1	250	5	0.017
R	1	250	6	0.016
R	1	250	7	0.017
R	1	250	8	0.018
R	1	250	9	0.018
R	1	250	10	0.019
R	1	250	11	0.019
R	1	250	12	0.02
R	1	250	13	0.021
R	1	250	14	0.021
R	1	250	15	0.023
R	1	250	16	0.023
R	1	250	17	0.024
R	1	250	18	0.025
R	1	250	19	0.026
R	1	250	20	0.026
R	1	250	21	0.027
R	1	250	22	0.028
R	1	250	23	0.029
R	1	250	24	0.03
R	1	250	25	0.031
R	1	250	26	0.032
R	1	250	27	0.033
R	1	250	28	0.034
R	1	250	29	0.035
R	1	250	30	0.036
