strain	replicate	conc	time	value
T	1	31.25	19	0.099
T	1	31.25	20	0.107
T	1	31.25	21	0.114
T	1	31.25	22	0.118
T	1	31.25	23	0.125
T	1	31.25	24	0.13
T	1	31.25	25	0.134
T	1	31.25	26	0.137
T	1	31.25	27	0.144
T	1	31.25	28	0.143
T	1	31.25	29	0.142
T	1	31.25	30	0.145
T	1	62.5	0	0.009
T	1	62.5	1	0.009
T	1	62.5	2	0.011
T	1	62.5	3	0.012
T	1	62.5	4	0.012
T	1	62.5	5	0.013
T	1	62.5	6	0.014
T	1	62.5	7	0.015
T	1	62.5	8	0.016
T	1	62.5	9	0.017
T	1	62.5	10	0.017
T	1	62.5	11	0.018
T	1	62.5	12	0.018
T	1	62.5	13	0.018
T	1	62.5	14	0.018
T	1	62.5	15	0.018
T	1	62.5	16	0.018
T	1	62.5	17	0.017
T	1	62.5	18	0.017
T	1	62.5	19	0.016
T	1	62.5	20	0.016
T	1	62.5	21	0.016
T	1	62.5	22	0.016
T	1	62.5	23	0.015
T	1	62.5	24	0.016
T	1	62.5	25	0.016
T	1	62.5	26	0.016
T	1	62.5	27	0.017
T	1	62.5	28	0.017
T	1	62.5	29	0.018
T	1	62.5	30	0.019
T	1	125	0	0.008
T	1	125	1	0.009
T	1	125	2	0.009
T	1	125	3	0.011
T	1	125	4	0.011
T	1	125	5	0.011
T	1	125	6	0.012
T	1	125	7	0.013
T	1	125	8	0.013
T	1	125	9	0.014
T	1	125	10	0.014
T	1	125	11	0.014
T	1	125	12	0.015
T	1	125	13	0.015
T	1	125	14	0.015
T	1	125	15	0.015
T	1	125	16	0.015
T	1	125	17	0.016
T	1	125	18	0.016
T	1	125	19	0.015
T	1	125	20	0.016
T	1	125	21	0.015
T	1	125	22	0.015
T	1	125	23	0.015
T	1	125	24	0.015
T	1	125	25	0.015
T	1	125	26	0.016
T	1	125	27	0.016
T	1	125	28	0.016
T	1	125	29	0.016
T	1	125	30	0.016
T	1	250	0	0.011
T	1	250	1	0.011
T	1	250	2	0.011
T	1	250	3	0.013
T	1	250	4	0.013
T	1	250	5	0.014
T	1	250	6	0.014
T	1	250	7	0.016
T	1	250	8	0.017
T	1	250	9	0.017
T	1	250	10	0.018
T	1	250	11	0.018
T	1	250	12	0.019
T	1	250	13	0.02
T	1	250	14	0.021
T	1	250	15	0.021
T	1	250	16	0.022
T	1	250	17	0.022
T	1	250	18	0.023
T	1	250	19	0.024
T	1	250	20	0.024
T	1	250	21	0.025
T	1	250	22	0.026
T	1	250	23	0.027
T	1	250	24	0.028
T	1	250	25	0.03
T	1	250	26	0.032
T	1	250	27	0.033
T	1	250	28	0.034
T	1	250	29	0.035
T	1	250	30	0.036
D	2	0	0	0.014
D	2	0	1	0.014
D	2	0	2	0.023
D	2	0	3	0.019
D	2	0	4	0.024
D	2	0	5	0.038
D	2	0	6	0.049
D	2	0	7	0.053
D	2	0	8	0.054
D	2	0	9	0.059
D	2	0	10	0.064
D	2	0	11	0.068
D	2	0	12	0.071
D	2	0	13	0.074
D	2	0	14	0.077
D	2	0	15	0.078
D	2	0	16	0.08
D	2	0	17	0.081
D	2	0	18	0.083
D	2	0	19	0.085
D	2	0	20	0.088
D	2	0	21	0.09
D	2	0	22	0.092
D	2	0	23	0.094
D	2	0	24	0.095
D	2	0	25	0.097
D	2	0	26	0.098
D	2	0	27	0.099
D	2	0	28	0.102
D	2	0	29	0.101
D	2	0	30	0.102
D	2	0.24	0	0.02
D	2	0.24	1	0.02
D	2	0.24	2	0.021
D	2	0.24	3	0.022
D	2	0.24	4	0.026
D	2	0.24	5	0.032
D	2	0.24	6	0.041
D	2	0.24	7	0.05
D	2	0.24	8	0.054
D	2	0.24	9	0.057
D	2	0.24	10	0.061
D	2	0.24	11	0.063
D	2	0.24	12	0.066
D	2	0.24	13	0.068
D	2	0.24	14	0.067
D	2	0.24	15	0.07
D	2	0.24	16	0.072
D	2	0.24	17	0.072
D	2	0.24	18	0.072
D	2	0.24	19	0.072
D	2	0.24	20	0.072
D	2	0.24	21	0.073
D	2	0.24	22	0.073
D	2	0.24	23	0.074
D	2	0.24	24	0.076
D	2	0.24	25	0.078
D	2	0.24	26	0.077
D	2	0.24	27	0.079
D	2	0.24	28	0.079
D	2	0.24	29	0.076
D	2	0.24	30	0.077
D	2	0.49	0	0.009
D	2	0.49	1	0.009
D	2	0.49	2	0.011
D	2	0.49	3	0.012
D	2	0.49	4	0.017
D	2	0.49	5	0.032
D	2	0.49	6	0.035
D	2	0.49	7	0.041
D	2	0.49	8	0.047
D	2	0.49	9	0.052
D	2	0.49	10	0.056
D	2	0.49	11	0.06
D	2	0.49	12	0.063
D	2	0.49	13	0.066
D	2	0.49	14	0.068
D	2	0.49	15	0.069
D	2	0.49	16	0.072
D	2	0.49	17	0.075
D	2	0.49	18	0.076
D	2	0.49	19	0.079
D	2	0.49	20	0.08
D	2	0.49	21	0.081
D	2	0.49	22	0.084
D	2	0.49	23	0.085
D	2	0.49	24	0.088
D	2	0.49	25	0.089
D	2	0.49	26	0.09
D	2	0.49	27	0.091
D	2	0.49	28	0.094
D	2	0.49	29	0.097
D	2	0.49	30	0.098
D	2	0.98	0	0.01
D	2	0.98	1	0.01
D	2	0.98	2	0.012
D	2	0.98	3	0.014
D	2	0.98	4	0.019
D	2	0.98	5	0.034
D	2	0.98	6	0.037
D	2	0.98	7	0.044
D	2	0.98	8	0.051
D	2	0.98	9	0.057
D	2	0.98	10	0.061
D	2	0.98	11	0.065
D	2	0.98	12	0.067
D	2	0.98	13	0.07
D	2	0.98	14	0.073
D	2	0.98	15	0.074
D	2	0.98	16	0.077
D	2	0.98	17	0.079
D	2	0.98	18	0.08
D	2	0.98	19	0.084
D	2	0.98	20	0.086
D	2	0.98	21	0.085
D	2	0.98	22	0.087
D	2	0.98	23	0.089
D	2	0.98	24	0.091
D	2	0.98	25	0.096
D	2	0.98	26	0.094
D	2	0.98	27	0.095
D	2	0.98	28	0.097
D	2	0.98	29	0.098
D	2	0.98	30	0.1
D	2	1.95	0	0.011
D	2	1.95	1	0.011
D	2	1.95	2	0.012
D	2	1.95	3	0.014
D	2	1.95	4	0.019
D	2	1.95	5	0.033
D	2	1.95	6	0.037
D	2	1.95	7	0.044
D	2	1.95	8	0.051
D	2	1.95	9	0.056
D	2	1.95	10	0.06
D	2	1.95	11	0.064
D	2	1.95	12	0.067
